time/iterations,time/total_timesteps,time/time_elapsed,train/mean_reward,time/fps,train/reward,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/clip_range,train/entropy_loss
14,120832,188,0.10416517,151,-0.13933316,0.1130859375,21.804656982421875,0.014337756,-0.008076310157775879,580,0.0001,-0.013910379738081246,1.0428688526153564,62.57750836610794,0.2,-42.36171510219574
15,122880,201,0.104007915,152,-3.6737666,0.087646484375,38.51789093017578,0.012650748,-0.005990743637084961,590,0.0001,-0.015473730774829164,1.0433367490768433,76.08743371963502,0.2,-42.37059047222137
1,124928,12,0.103761524,170,-0.9323783,0.09130859375,9.510224342346191,0.010554407,0.01003187894821167,600,0.0001,-0.018762035464169456,1.043047308921814,25.626759660243987,0.2,-42.37203562259674
2,126976,24,0.10298384,165,1.3471369,0.111474609375,23.001073837280273,0.011216539,0.006693780422210693,610,0.0001,-0.014906567486468703,1.0434314012527466,52.383622395992276,0.2,-42.375711703300475
3,129024,37,0.102515385,164,-0.017855117,0.18642578125,37.62598419189453,0.015579537,0.004983723163604736,620,0.0001,-0.02012139702346758,1.0442205667495728,79.29287025928497,0.2,-42.38983025550842
4,131072,49,0.102066725,164,-0.6758521,0.0720703125,24.4326229095459,0.009546278,0.025709450244903564,630,0.0001,-0.01786330603645183,1.044486165046692,78.50247446298599,0.2,-42.40418727397919
5,133120,62,0.101212,164,-1.263741,0.159033203125,5.850760459899902,0.017063593,-0.04572713375091553,640,0.0001,-0.024459273196407595,1.0449963808059692,21.174303466081618,0.2,-42.411939811706546
6,135168,74,0.10033604,164,2.3949645,0.1185546875,44.986690521240234,0.0150956055,-0.0003108978271484375,650,0.0001,-0.017027996576507574,1.0461091995239258,50.9099699139595,0.2,-42.437782526016235
7,137216,87,0.10018635,163,2.0368545,0.12978515625,36.009368896484375,0.013444743,0.0006668567657470703,660,0.0001,-0.019458680934621952,1.0468319654464722,45.34794489145279,0.2,-42.46374063491821
8,139264,100,0.09957392,163,0.6585121,0.125390625,10.292108535766602,0.013134327,-0.016615986824035645,670,0.0001,-0.019211775455914903,1.047877311706543,24.264442491531373,0.2,-42.4862322807312
9,141312,112,0.09918583,163,-1.4577402,0.10390625,15.418435096740723,0.013134527,0.04374527931213379,680,0.0001,-0.014648110424604965,1.0487120151519775,44.55570092201233,0.2,-42.51282696723938
10,143360,125,0.09847687,163,0.06495153,0.081494140625,15.85929012298584,0.011000484,0.006873130798339844,690,0.0001,-0.015764894121093675,1.049153208732605,83.9112643122673,0.2,-42.53047103881836
11,145408,138,0.09867589,163,-0.37408584,0.104736328125,22.38741111755371,0.013639586,-0.019932270050048828,700,0.0001,-0.01481511294550728,1.0500884056091309,44.496432995796205,0.2,-42.55233492851257
12,147456,151,0.09825188,162,0.18227623,0.10478515625,12.20505428314209,0.013906019,-0.0014505386352539062,710,0.0001,-0.01674303316685837,1.0504398345947266,26.121113777160645,0.2,-42.56517081260681
13,149504,164,0.09851999,161,0.6332969,0.087841796875,36.725120544433594,0.011380624,-0.004676699638366699,720,0.0001,-0.015157252229982987,1.0507478713989258,86.16741762161254,0.2,-42.57823288440704
14,151552,177,0.099280596,161,-0.10898144,0.12509765625,51.25366973876953,0.016714424,0.021532297134399414,730,0.0001,-0.015159157707967098,1.0517691373825073,87.24955573081971,0.2,-42.594542908668515
15,153600,190,0.09937087,161,-3.5030923,0.102685546875,20.036745071411133,0.013249163,0.042562901973724365,740,0.0001,-0.013200820807833224,1.0518031120300293,33.79073840379715,0.2,-42.610127329826355
1,155648,16,0.10024429,126,-0.9403158,0.080224609375,26.082216262817383,0.01030745,0.031385064125061035,750,0.0001,-0.01655594301992096,1.052810549736023,95.9528341293335,0.2,-42.62366132736206
2,157696,31,0.10248888,130,-0.71091145,0.1056640625,83.2941665649414,0.014113933,0.010971426963806152,760,0.0001,-0.015438004297902808,1.0530520677566528,151.28377015590667,0.2,-42.6400860786438
3,159744,44,0.10161937,137,0.42685515,0.137548828125,139.6375274658203,0.0147183,-0.003825664520263672,770,0.0001,-0.010511943447636441,1.053596019744873,240.04839935302735,0.2,-42.65130794048309
4,161792,58,0.10252582,139,0.040775366,0.097412109375,12.073232650756836,0.010781771,0.03066861629486084,780,0.0001,-0.01612854443519609,1.0541086196899414,23.789538502693176,0.2,-42.66438691616058
5,163840,73,0.103905395,139,1.5533458,0.057275390625,46.217803955078125,0.00847771,0.008184075355529785,790,0.0001,-0.008439050638116896,1.0544310808181763,156.97224950790405,0.2,-42.6754049539566
6,165888,88,0.1052044,139,-6.627949,0.129248046875,64.33943176269531,0.016051382,0.016602158546447754,800,0.0001,-0.016108368951245212,1.0549858808517456,206.0891451358795,0.2,-42.688692283630374
7,167936,102,0.1058239,140,3.0526392,0.126513671875,26.830114364624023,0.014531087,0.02125370502471924,810,0.0001,-0.013558571375324392,1.0561121702194214,60.05427219867706,0.2,-42.71198220252991
8,169984,117,0.106460795,139,0.13300607,0.099072265625,57.38260269165039,0.013484579,0.0262109637260437,820,0.0001,-0.013883423405059148,1.0567996501922607,162.30899860858918,0.2,-42.737339520454405
9,172032,130,0.108035415,140,0.319921,0.1361328125,63.195220947265625,0.014906743,0.010967791080474854,830,0.0001,-0.012779915431747214,1.0575971603393555,154.75974986553192,0.2,-42.75801334381104
10,174080,146,0.10804885,140,0.48398003,0.1083984375,74.94624328613281,0.014372937,0.0026642680168151855,840,0.0001,-0.010689729556906969,1.0591812133789062,176.9143014431,0.2,-42.786703038215634
11,176128,161,0.10916822,139,2.4139504,0.1267578125,11.037747383117676,0.014256591,0.0019962191581726074,850,0.0001,-0.018322160992829593,1.060161828994751,22.246554386615752,0.2,-42.825885677337645
12,178176,175,0.10969064,140,-1.0659251,0.13310546875,33.205413818359375,0.015250583,0.035496413707733154,860,0.0001,-0.013195271432050504,1.0613338947296143,135.0556278705597,0.2,-42.8527227640152
13,180224,189,0.11066545,140,-19.20244,0.12119140625,64.24308776855469,0.012083511,-0.01130688190460205,870,0.0001,-0.0067856982379453255,1.062583327293396,109.76166884899139,0.2,-42.884664583206174
14,182272,203,0.11034543,140,-1.7672344,0.12509765625,20.445825576782227,0.013719695,-0.013590216636657715,880,0.0001,-0.014169522251177114,1.0637824535369873,47.89692738056183,0.2,-42.921651411056516
15,184320,218,0.11100732,140,-1.7217836,0.1201171875,114.95999908447266,0.0112911165,0.01243501901626587,890,0.0001,-0.0121313617186388,1.0638937950134277,130.09608274698257,0.2,-42.937754893302916
1,186368,12,0.112610705,158,-0.21472964,0.145458984375,89.37026977539062,0.015451767,0.01875835657119751,900,0.0001,-0.013234096750966273,1.0649306774139404,112.43561823368073,0.2,-42.95186092853546
2,188416,26,0.11273826,153,0.6145694,0.0751953125,95.99320983886719,0.01283057,0.013627946376800537,910,0.0001,-0.009073973147314974,1.0659596920013428,217.66972541809082,0.2,-42.979425716400144
3,190464,40,0.113442175,151,-0.08671189,0.122314453125,6.604384422302246,0.014489738,0.10014915466308594,920,0.0001,-0.017532359992037526,1.0662965774536133,20.212435281276704,0.2,-43.000440669059756
